Mask;Score;Gen
?u?u?u?u?l;-4.8;6
?l?u?u?u?l;-4.0;6
?d?d?u?u?l?u?d?s;-0.0;6
?l?u?u?u;-2.6;6
?u?u?u?u?l;-4.8;6
?l?u?u?u?u;-4.2;6
?l?u?u?u?l;-4.0;6
?l?u?s?u?l?l?l?s;-0.0;6
?l?u?u?u?l;-4.0;6
?l?u?u?u?l;-4.0;6
?d?d?u?u?l;-3.0;6
?d?u?u?u?l;-3.4;6
?l;-0.0;6
?l?u?u?u?l;-4.0;6
?l?u?u?u?l;-4.0;6
?d?u?u?u?l;-3.4;6
?l?u?u?u?l;-4.0;7
?l?u?u?u?l;-4.0;7
?s?l?u?u?l;-0.0;7
?l?u?u?d?l;-1.1666666666666667;7
?l;-0.0;7
?l?u?u?u?l;-4.0;7
?l?u?u?u?l?u?l?s;-0.0;7
?u?u?u?u?l;-4.8;7
?l?u?u?u?u?l?l?s;-0.0;7
?l?u?u?l?l;-4.833333333333333;7
?u?l?u?u?l;-3.5;7
?l?u?u?u?l;-4.0;7
?l?u?u?u?l;-4.0;7
?u?u?u?u?l;-4.8;7
?l?u?u?l?d;-5.0;7
?u?u?u?u?l;-4.8;7
?l?u?u?u?l;-4.0;7
?l?u?u?l?l?d?l?s;-0.0;7
?l?u?s?u?u;-0.0;7
?l?l?u?u?l;-4.833333333333333;7
?u?u?u?u?l;-4.8;7
?d?u?u?u?l;-3.4;7
?l?u?u?u?l;-4.0;7
?l?u?u?u?l;-4.0;7
?u?u?u?u?l;-4.8;7
?l?l?s?u?l;-0.0;7
?u?u?u?u?l;-4.8;7
?l?u?u?u?l;-4.0;7
?l?u?u?s?l;-0.0;7
?l?u?u?u?u;-4.2;7
?l?u?u;-0.0;7
?u?u?u?u?l;-4.8;7
?l?u?u?l?l;-4.833333333333333;7
?l?u?u?u?l;-4.0;7
?l?u?u?u?l;-4.0;7
?l?u?u?u?u;-4.2;7
?u?u?u?u?l;-4.8;7
?l?u?u?u?l;-4.0;7
?u?u?u?u?l;-4.8;7
